,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
44,CR FINALZ ELSEVE LEAVE IN REP TOTAL 5+ 100ML,RESTAURADOR,CREME PARA TRATAMENTO
45,TOALHA MESA CORTTEX LAN 1.48X2.20 H BCO,TOALHA,MESA
46,PAO HAMB INT SL 300G,HAMBÚRGUER,PÃES
47,PANETONE BAUDUCCO MINI LATA 80G,FRUTAS,PANETONE
48,AP BARB BIC FLEX 4 OURO,DESCARTÁVEIS,APARELHO DE BARBA
49,LUVA DE COZINHA ESFREBOM GRANDE,LUVA DE LÁTEX,LUVA
50,CHA ERVAS REAL MULTIERVAS MACA VRM C/ 10SQ 10G,ERVAS,CHÁ
51,PAO FOR INTEG LIGHT WICKBOLD 300G 10 GRAOS,FORMA INTEGRAL/GRÃOS,PÃES
52,IOGURTE SANS SOUCI AMEIXA LIGH 750G,LIGHT,IOGURTE
53,PROTEINA DE SOJA REALEZA 400G CARNE VERMELHA,PROTEÍNA DE SOJA,SAUDÁVEL
54,VINHO NACIONAL MIOLO SELECAO BCO 750ML,VINHO NACIONAL,VINHO
55,AZEITE DE DENDE KININO 200ML .,DENDÊ,AZEITE
56,MEIA CALCA LOBA OPACA FIO 40 MR P,MEIA CALÇA,MEIA
57,LINGUICA DE FRANGO 1kg FINA SUPERFRANGO RESF,FRANGO,LINGUIÇA
58,ERVA MATE SIMIONI PREMIUM 1KG,ERVA MATE,ERVA MATE/CEVADA
59,ABOBORA HORTA & ARTE ORG 600G,ABÓBORA,LEGUMES
60,MAC INST NISSIN T MONICA SV 85G-PC HOT DOG,INSTANTÂNEO OUTROS SABORES,MASSA SECA
61,MOLHO TEMPERATTA 900ML ALHO C/PIMENTA,TRADICIONAL,MOLHO DE ALHO
62,SERV AMERICANO RATTAN 32X32 DD0006,JOGO AMERICANO,MESA
63,LIMP BIOZ GREEN MULTIUSO VERBENA 600ML,TRADICIONAL,LIMPADOR MULTIUSO
64,CERA POLWAX SUP BRILHO 750ML INCOL,CERA VERMELHA,TRATAMENTO DE PISO
65,BUCHA Q UTIL C/GANCHO FECH N8 1164 C/5,BUCHA,FIXAÇÃO
66,VINHO ARGENTINO ALTOS HORMIG CLAS MALBEC 375ML,VINHO ARGENTINO,VINHO
67,FOSFORO PARANA GIGANTE ECO C/50,FÓSFORO,MANUTENÇÃO COZINHA
68,ARROZ TIO URBANO POLIDO 1KG TP1,TIPO 1,ARROZ
69,PRESUNTO SULITA COZIDO kg .,FATIADO,PRESUNTO
70,"ASSADEIRA RED MARINEX 3,1LTS MACARRON",ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
71,SANDALIA CARTAGO SIENA GASPEA AZ 40,SANDÁLIA,CALÇADO ADULTO
72,DOCE EXPEDICIONARIO ABOBORA/COCO kg .,ABÓBORA,DOCE PASTA
73,REFIL MOP MOR 8271,REFIL MOP,PANOS/FLANELAS
74,CHOC GRANULADO BRETZKE ESCURO COPO 190G,CHOCOLATE GRANULADO,CONFEITOS
75,ENERGETICO TNT TANGERINA LT 269ML,TRADICIONAL,ENERGÉTICO
76,DESINF MARINA 1L-FR FLORAL,DILUÍDO,DESINFETANTE
77,COLCHA CORTTEX SOLT B 1.6X2.3 FREDON/AZU,COLCHA,CAMA
78,CHALEIRA IMP ACO I C/APITO 2.7L WX2201,CHALEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
79,TIGELA PLASTICA 450ml EVO FUNNY CEREJEIRA,TIGELA,UTENSÍLIOS DE PLÁSTICO
80,MOLHO TEMPERATTA 150ML CURRY .,TRADICIONAL,MOLHO DE PIMENTA
81,CAIXA ORG OU M CO430AZMF,CAIXA ORGANIZADORA,ORGANIZADOR
82,PRESUNTO MAGRO SEARA kg BJ .,FATIADO,PRESUNTO
83,ARROZ TIO JOAO AGULHINHA 5KG TP1,TIPO 1,ARROZ
84,MAMADEIRA KUKA AQU ORTO2 ROSA 250ML 1467,MAMADEIRA,PUERICULTURA
85,CAMA ANIMAIS SSPETS COURINO LUXO RS M,CAMAS,ACESSÓRIOS PET
86,ESM ELKE NATURAL PORCELANA N.25 7ML,ESMALTE,ESMALTE
87,VINHO ITALIANO PAIARA PUGLIA 750ml BRANCO,VINHO ITALIANO,VINHO
88,ENERGETICO NIGHT POWER 269ML LATA,TRADICIONAL,ENERGÉTICO
89,BISC CHIMANGUINHO POLVILHO 130G QJO PARMESÃO,BISCOITO POLVILHO SALGADO,SALGADINHO E APERITIVO
90,AZEITE GALLO EXT SUAVE 250ML,EXTRA VIRGEM,AZEITE
91,JOGO AMERICANO KAPAZI THERMO IMPACT 4PC,JOGO AMERICANO,MESA
92,BISCOITO 150g DAN CAKE CHOCOLATE,SABORIZADO,BISCOITO
93,SANDALIA HAVAIANAS KIDS ATHLETIC PTO /AZUL 33/34,SANDÁLIA,CALÇADO INFANTIL
94,IOG SOJA 900G-GF MORANGO,SOJA,IOGURTE
95,LEITE LIVRE UHT SEMI DESNATADO 1L,SEMI DESNATADO,LEITE UHT
96,BALA MASTIG FLORESTAL FRUTAS SORT 1KG-PC,BALAS - MASTIGÁVEIS,BOMBONIERE
97,COGUMELO SHIMEJI NAT SALMAO 200G-BJ RAIZES,SHIMEJI,COGUMELO
98,COXAO MOLE BROCHETE KG,COXÃO MOLE,BOVINO RESFRIADO
99,IOG POLPA BATAVO 100G-CP PED FRUTA MORANGO,POLPA,IOGURTE
100,"LAVA LOUCAS KOKINOS 500ML, MACA",LÍQUIDO MAÇÃ,LAVA LOUÇA
101,"POLPA NIAGRO 400G, GOIABA",GOIABA,POLPA DE FRUTA
102,GRANOLA KOBBER ZERO 250G,GRANOLA,SAUDÁVEL
103,SH MURIEL UMIDILIZ TEEN 250ML,HIDRATAÇÃO,SHAMPOO
104,ESM BETULLA SANDY PEROLADO ONIX 216 1UN,ESMALTE,ESMALTE
105,ABRIDOR INOX KEHOME REF:5693,ABRIDOR ,UTENSÍLIOS DE INOX/ALUMÍNIO
106,MASCARA FACIAL DE VESCOSE -DAI,MÁSCARA FACIAL,HIDRATAÇÃO PARA O ROSTO
107,DRINK KOVAK ICE GREEN APPLE 275,ICE,COOLER/ICE
108,BISC DOCE ZEZE MINIDITOS COCO 200G,TRADICIONAL,BISCOITO
109,T.NUTRISSE KIT GTS CO.FRUCTIS 200ML 67 CHOC.,PERMANENTE OUTROS,COLORAÇÃO FEMININA
110,PRATO KIREY DECOR POA AZUL 180MM C/8,PRATO,ARTIGOS PARA FESTAS
111,VINAGRE ROSANI VINHO TINTO FR 500ML,VINAGRE ÁLCOOL,VINAGRE
112,SANDALIA HAVAIANAS KIDS MAX TREND PRETO 25/26,SANDÁLIA,CALÇADO INFANTIL
113,FRANGO RESFRIADO kg SEARA,AVE INTEIRA,AVE RESFRIADA
114,FRALDA SUPER JUMBO CAPRICHO XXG C/56,BÁSICA G,FRALDA INFANTIL
115,JG ENFEITE NATAL IMP 12PCS YWV6708414,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL
116,"COBERTURA SORV DR OETKER 200G, CARAMELO",SORVETE,COBERTURA
117,PANETTONE LOISON CEREJA/CANELA 550G,OUTROS,PANETONE
118,UNHAS KISS NATURALS QUAD MEDIO C/28,UNHA POSTIÇA,ESMALTE
119,BANDEIJA DE PLASTICO -DAISO,POTES,UTENSÍLIOS DE PLÁSTICO
120,LEITE COCO MAIS COCO 200ML,LEITE DE COCO,DERIVADOS DO COCO
121,ESM RISQUE CAPPUCCINO 1UN-SM,ESMALTE,ESMALTE
122,LEITE SAB CHOCO SUSTAGEN 190ML CHOC,CHOCOLATE,LEITE SABORIZADO
123,ESCOVA DENTAL GUM ORA CLEAN 360 MEDIUM,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
124,TACA CERVEJA RUVOLO 380ML-UN,TAÇAS,UTENSÍLIOS DE VIDRO
125,PENEIRA INOX 10CM,PENEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
126,HIDRAT LOC CORPO PAIXAO INSPIRADORA ONLY YOU 200ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
127,CR DENT CREME SORRISO DENTE BCO 90G LV12 GTS.3 CR DENT CREME GEL SORR.90,CREME DENTAL BRANQUEADOR,CREME/GEL DENTAL ADULTO
128,CHOC BOMBOM MONTEVERGINE CEREJA S/ALCOOL 100G,CHOCOLATE BOMBOM,BOMBONIERE
129,NOZ MACADAMIA KG,NOZ MOSCADA,CONDIMENTO NATURAL
130,FILTRO OLEO FRAM PH5796,FILTRO DE ÓLEO,AUTOMOTIVO FILTROS
131,"MOLHO INGLES 150ML, CHINEZINHO",TRADICIONAL,MOLHO INGLÊS
132,CR TRAT TRESEMME BAIXO POO 400G,TRADICIONAL,CREME PARA TRATAMENTO
133,ALIM CAO DOGCHOW 100G-SACHE CORD T-AO MOLHO,SECO,ALIMENTO PARA CÃES
134,ASSADEIRA ACASA CER RED 28CM VM 2421,ASSADEIRA,UTENSÍLIOS DE PORCELANA/CERÂMICA
135,VINHO PORTUGUES RAVASQUEIRA ROSE 750ML,VINHO PORTUGUÊS,VINHO
136,VELA REGINA C/GLITER BRANCA N.01,VELA,ARTIGOS PARA FESTAS
137,SAB KANITZ MUCH LOVE 160G-PT ROSA,BÁSICO,SABONETE BARRA
138,CERV GERMANIA BLACK 56 LT 710ML,PREMIUM,CERVEJA
139,FRALDA PAMPERS CONFORT SEC MEGA GDE + 4UN 38UN,ALTA PERFORMANCE M,FRALDA INFANTIL
140,CESTO ARTHI FLEXIVEL QUAD AZ 22L 7692,CESTO DE ROUPA,ORGANIZADOR
141,PAPEL TOALHA SNOB L140 P120,PAPEL TOALHA,PAPEL TOALHA
142,BATATA PALHA T BACK TRAD 120G,BATATA PALHA,SALGADINHO E APERITIVO
143,BULE CAFE GERMER B VERSA 3.7211075,BULE,UTENSÍLIOS PARA CAFÉ
144,MORANGO DOM FRUTO PREMIUM BJ 220G,MORANGO,FRUTAS
145,ESM COLORAMA G-ANTONELLI ENCONTRO DEL,ESMALTE,ESMALTE
146,BOLA DE VINIL NA CX SMURF,BOLA,BRINQUEDOS ESPORTES
147,SUCO ORG NATIVE TROPICAL ACAI C/GUARANA TP 1L,REGULAR,SUCO ORGÂNICO
148,LINGUA BOV ELGOLLI (PECA) KG,LÍNGUA BOVINA,BOVINO RESFRIADO
149,SAND ATELIE MINI 130G PRESUNTO,SANDUICHE,LANCHE PRONTO
150,PALMEIRA CHAMAEDOREA P15,PALMEIRA,"PLANTAS, FLORES E ACESSÓRIOS"
151,ESC DENTAL CLIA SLIM MEDIA,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
152,HORTELA SEMPRE VERDE UND,HORTELÃ,LEGUMES
153,VINHO PORTUGUES HERDADE DE SAO MIGUEL 750ML,VINHO PORTUGUÊS,VINHO
154,ESC DENT BAS COLGATE TWISTER PLUS MEDIA,ESCOVA DENTAL BÁSICA,ESCOVA DENTAL ADULTO
155,PANO MICROFIBRA un,PANO MULTIUSO,PANOS/FLANELAS
156,VINHO NACIONAL ARBO TANNAT TT.SC 750ML,VINHO NACIONAL,VINHO
157,SUCO INTEG DO BEM LIMONADA TP 200ML,INTEGRAL,SUCO PRONTO/NECTAR
158,CHAMPIGNON DIZA FATIADO 100G,CHAMPIGNON,COGUMELO
159,MASSA PARA PASTEL 200g PASTELLI MEDIO,PASTEL DISCO,MASSA FRESCA
160,CHICLE MENTOS FRESH MINT 126G-DY C12,CHICLETE MENTA,BOMBONIERE
161,AMAC ROUPA CONC ARES PINK 500ML,CONCENTRADO,AMACIANTE
162,PASCOA OVO LACTA HELLO KITTY MICO 250G,OVO DE PÁSCOA,OVO DE PÁSCOA
163,MELAO AMARELO REDINHA VIVA KG,MELÃO,FRUTAS
164,CHOC BAR SUFLAIR DUO 110G,CHOCOLATE BARRA,BOMBONIERE
165,CEBOLA JOFIR GRANULADA FLOCOS PCT 15G,CEBOLA GRANULADA,CONDIMENTO NATURAL
166,SUPER CONDIC CABELO SEDA HIDRATA 170ML,FORÇA,CONDICIONADOR
167,LIXEIRA SANREMO BASC 30LT 283,LIXEIRA,LIXEIRA
168,RACAO 8kg XODO CARNE,SECO,ALIMENTO PARA CÃES
169,MIST GELATINA SOL MORANGO 35G,REGULAR FRAMBOESA,GELATINA
170,CHINELO IPANEMA ANAT AD,CHINELO,CALÇADO ADULTO
171,SACO BOREDA FREEZER 3KG 50UN,SACO PARA FREEZER,SACOS
172,SALAME VILLANI TP NAPOLI FAT 90G,ITALIANO,SALAME
173,PERNIL SUINO kg CONGELADO,PERNIL,SUÍNO RESFRIADO
174,VINHO MONTGRAS ANTU CHARDONNAY GFA 750ML,VINHO CHILENO,VINHO
175,VINHO GUATAMBU ESTANCIA CABERN GFA 750ML,VINHO TINTO,VINHO
176,SACO LIXO DOBRASIL ANT BCO PER 100L C/10,SACO DE LIXO,SACOS
177,FLANELA DOZA AMARELA PQ 28X48CM,FLANELA GRANDE,PANOS/FLANELAS
178,AREIA SANIT BAW WAW BEAUTY GATOS 3KG,AREIA,HIGIENE/LIMPEZA PET SHOP
179,OLEO CANOLA GIROIL GFA 250ML,ÓLEO DE CANOLA,ÓLEO
180,"TEMP FLOCOS AROMA ERVAS CEBOLA, ALHO E SALSA 40G",TEMPERO PRONTO,TEMPERO
181,VELA ANIV FEST LAR DECORATIVA AZUL C 20,VELA,ARTIGOS PARA FESTAS
182,FILTRO PAPEL JOVITA 103,FILTRO DE PAPEL,UTENSÍLIOS PARA CAFÉ
183,"VINHO NACIONAL RANDON SV TT 4,6L",VINHO NACIONAL,VINHO
184,SHA PALMOLIVE NAT DETOX 350ML,HIDRATAÇÃO,SHAMPOO
185,VINHO ITALIANO COLOMBINA ROSSO DI MONTALCINO 750ML,VINHO ITALIANO,VINHO
186,COND FRUCTIS LISO ABS.ESCOVA 400ML,LISO,CONDICIONADOR
187,BONECA MANDINHA PENIQUINHO APOLO,BONECAS/BONECOS,BRINQUEDOS MENINAS
188,LEITE LV SHEFA GARRAFA SEMI DESN 1L,SEMI DESNATADO,LEITE UHT
189,ARROZ GRAO DE OURO PARBOILIZADO PCT 1KG,INTEGRAL,ARROZ
190,AMENDOA UNIAGRO S/CASCA LAMINADA PT 110G,AMÊNDOA,FRUTA SECA
191,HIDRAT LOC CORPO SUAVITY ABACATE/VITAM. 500ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
192,PALMITO PUPUNHA CULTIVERDE INT 270G,INTEIRO,PALMITO
193,PALMITO ICOARACI 450G-LT PICADO ACAI,PICADO,PALMITO
194,PALITO FIBRAS BIOSOFT LIGHT 30G FRUTAS VERMELHA,LIGHT,SALGADINHO E APERITIVO
195,"ALIM P CAES BEATY PET 8KG, CARNE VEG",SECO,ALIMENTO PARA CÃES
196,FARINHA MANDIOCA ROCHA EXTR FINA S/G 1KG,FARINHA DE MANDIOCA,FARINÁCEO
197,SANDALIA HAVAIANAS ALLEGRA PRINT AMARELO POLEN 35/36,SANDÁLIA,CALÇADO ADULTO
198,FARINHA DE MANDIOCA 5kg YOKI TORRADA,FARINHA DE MANDIOCA,FARINÁCEO
199,COBERTURA BESTWAY FAST SET 3.35M 58033,PISCINAS,PRAIA/PISCINA
200,CASTANHA CAJU MUCURIPE 130G CARAM C/ GERG,CASTANHA DE CAJU,OLEOGINÓSA
201,CAFE ALMOF D-CENTRO ESPECIAL ORIG PARANA 250G,ALMOFADA TRADICIONAL,CAFÉ
202,AMENDOA LAMINADA BENASSI kg,AMÊNDOA,FRUTA SECA
203,SALSICHA CONG kg AURORA,TRADICIONAL,SALSICHA
204,CRISANTEMO VASO DE BARRO DECORADO,VASO,JARDINAGEM PLANTAR
205,LEITE TIROL INTEGRAL C/TAMPA TP 1L,INTEGRAL,LEITE UHT
206,ASA DO BRASIL RALADOR 3 FACES 11CM,RALADOR,UTENSÍLIOS DE INOX/ALUMÍNIO
207,CEBOLA 500g COOPERORG,CEBOLA,LEGUMES
208,VINHO ESPUMANTE DOM LUCIANO 750ML TEMP,ESPUMANTE,SIDRA/ESPUMANTE
209,VULT GLOSS LABIAL NOVO N.05,GLOSS,MAQUIAGEM
210,GRANOLA BIOSOFT 230G 20 INGREDIENTE,GRANOLA,SAUDÁVEL
211,SHAMPOO PHYTOERVAS ANTICASPA 250ML,ANTI-CASPA,SHAMPOO
212,FARINHA MILHO ELEFANTE 500GR .,FARINHA DE MILHO,FARINÁCEO
213,LIMP PERF VEJA FLOR SUAVE LV500MLPG350ML,PERFUMADO,LIMPADOR MULTIUSO
214,DEO COLONIA BANHO FLORES 300ML KIDS ROSA,COLÔNIA,PERFUMAÇÃO
215,BALA CARAM FRUITTELLA MORANGO DY 40G 16UN,BALAS - CARAMELO E TOFFE,BOMBONIERE
216,SABAO BARRA UNO 200G COCO,COCO,SABÃO EM BARRA
217,FRONHA MF AVULSA 50X70 AZ,FRONHA ,CAMA
218,BISC MOSMANN PRO 25G C/WHEY PROTEIN CAPUCCINO C/BI,SAUDÁVEL,BISCOITO
219,T.FLEURY KIT COLOR.ESP. (6.2) LOURO,PERMANENTE LOURO,COLORAÇÃO FEMININA
220,ESM ELKE NATURAL TO DE BOA N.28 7ML,ESMALTE,ESMALTE
221,FORRO ROMANA P/FORMINHA 9CM C/100 AMARELO,FORRO FORMINHA,ARTIGOS PARA FESTAS
222,DES AERO BI-O ENERGY 90G,AEROSOL COM PERFUME,DESODORANTE MASCULINO
223,HAMB BOVINO BRASA BURGUERS GOURMET 400G,BOVINO,HAMBÚRGUER
224,SH ALYNE 350ML ANTICASPA,ANTI-CASPA,SHAMPOO
225,XICARA CHA GERMER C/PIRES BOLD 4.2893820,XÍCARA COM PIRES,UTENSÍLIOS DE PORCELANA/CERÂMICA
226,INSETI ESPIRAL DETEFON C/10,ESPIRAL INSETOS,INSETICIDA
227,ANTIS BUCAL COLGATE PLAX COOL MINT 2EM1 500ML,ANTISSÉPTICO BUCAL MENTA,ANTISSÉPTICO BUCAL ADULTO
228,ESM RISQUE AREBABA INDIA 1UN-SM,ESMALTE,ESMALTE
229,ESSENCIA KISABOR BAUNILHA 30ML,ESSÊNCIA,ESSÊNCIA/CORANTE
230,BALAO METALIZADO DOURADO N8,BALÃO,ARTIGOS PARA FESTAS
231,COND LIB LG 18000 QF DUAL INV 220V,SPLIT/MULTISPLIT,VENTILAÇÃO
232,AGUA OXIGENADA 10VOL MUSA 80ML,30 VOLUMES,ÁGUA OXIGENADA
233,REPOLHO VERDE ORGANICOS DO SUL 250G,REPOLHO ORGÂNICO,VERDURAS
234,CELULAR SAMSUNG J2 PRO DR SM-J250MZD,TELEFONIA MOVEL,TELEFONIA
235,CADERNO CD UNIV FAST FURIOUS 96FLS,CADERNO,MATERIAL ESCOLAR
236,CHICLE PING-PONG MAXI MONST HORT 240G-DY C/60,CHICLETE HORTELÃ,BOMBONIERE
237,PORTA TUDO NILTRON,PORTA MANTIMENTO,UTENSÍLIOS DE PLÁSTICO
238,GARRAFA SANREMO C BIC VALVULADO 500ML,JARRA/GARRAFA,UTENSÍLIOS DE PLÁSTICO
239,PANETONE VINCENZA CHOCOLATE 454G,FRUTAS,PANETONE
240,BEBIDA LACTEA PAULISTA 570G MORANGO,BEBIDA LÁCTEA,IOGURTE
241,CHA RISTON PRETO MACA/CANELA CX/25,PRETO,CHÁ
242,FACA PARA DESCASCAR (ACO INOXIDAVEL) -DAISO,FACA,UTENSÍLIOS DE INOX/ALUMÍNIO
243,BISC COELHO ROSQUINHA 400G COCO,COCO,BISCOITO
244,ASSADEIRA QUADRADA PEQ,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
245,AGUARD SALINAS CRISTALINA 600ML,TRADICIONAL,AGUARDENTE/CACHAÇA
246,UNHA POSTICA BELLIZ AUTOADE FRANC 1271,UNHA POSTIÇA,ESMALTE
247,"FRIGIDEIRA 24X4cm 1,2L BRINOX CHILLI TUR",FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
248,CERV TASSILA S\GLUTEN TRIGO GF 300ML,ARTESANAIS,CERVEJA
249,CARAMELO FRUITTELLA LIFE ESPRESSO,CÁPSULA EXPRESSO,CAFÉ
250,BONECA ANALLY PRINCESS,BONECAS/BONECOS,BRINQUEDOS MENINAS
251,FEIJAO BRANCO KISABOR 500G,FEIJÃO BRANCO,FEIJÃO
252,MOCHILETE SESTINI MONSTER G 15Y02 63579,MOCHILA,MATERIAL ESCOLAR
253,PRES SEARA ROYAL GOUR FAT,FATIADO,PRESUNTO
254,"MASSA MENU GOURMET NHOQUE 350G, REQUEIJAO",NHOQUE,MASSA FRESCA
255,FLOR NAT ROSEIRA RENATE P15,ROSEIRA,"PLANTAS, FLORES E ACESSÓRIOS"
256,VINHO ESPUMANTE PINORD CHATELDON CAB RES 750ML,ESPUMANTE,SIDRA/ESPUMANTE
257,TACA BOHEMIA ETI FYH CHAMP 220ML 40415,TAÇAS,UTENSÍLIOS DE VIDRO
258,ESPONJA DE ACO FORTA ACO INOX UN,LÃ DE AÇO,ESPONJA DE AÇO
259,OXFORD PRATO FUNDO 21CM QUARTIER SEVILHA,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
260,CAPA ALMOFADA ACASA N DUB 60X60 AZ 1901,CAPA DE ALMOFADA,ALMOFADAS
261,SUPERMASS INTEGRALMEDICA CHOCOLATE 1.5KG,PROTEÍNA,SUPLEMENTO ALIMENTAR
262,FITA DENTAL DENTEK COMFORT CLEAN C/30,FITA DENTAL,FIO/FITA DENTAL
263,VINHO CHILENO VENTISQUERO BCO CHARD CLAS BCO 750ML,VINHO CHILENO,VINHO
264,ESM COLORAMA POESIA 8ML,ESMALTE,ESMALTE
265,CEBOLA FLOCOS C DAS ERVAS 14G,ALHO FLOCOS,CONDIMENTO NATURAL
266,SH PANTENE COR RAD 200ML,HIDRATAÇÃO,SHAMPOO
267,CHOC LACTA 90G-TA LAKA/DIAM NEGRO,CHOCOLATE BARRA,BOMBONIERE
268,"CIG PLAZA C 10, KING SIZE",CIGARRO,CIGARRO
269,GOIABADA MIRAHY CASCAO BARRA 300G,GOIABADA,DOCE MASSA
270,ESMALTE IMPALA ARMA SECRETA,ESMALTE,ESMALTE
271,COND ELSEVE OLEO EXT NUTRI 200ML,NUTRIÇÃO,CONDICIONADOR
272,CAFE CAPITAL TRAD ALMOF 250G,ALMOFADA TRADICIONAL,CAFÉ
273,BALA DE MEL GENGIBRE E LIMÃO 38G,BALAS - MASTIGÁVEIS,BOMBONIERE
274,COND OX VITAMINS COR SUBLIME 400ML,TRADICIONAL,CONDICIONADOR
275,CAMINHAO MINHAO GERMANO 48CM,VEÍCULOS,BRINQUEDOS MENINOS
276,PALITO P/CAO MASTIG NAT 8MM PCT 1KG,PETISCOS,ALIMENTO PARA CÃES
277,LAVA ROUPA BABY ZAP LIQ 500ML CLEAN,BÁSICO,LAVA ROUPA LÍQUIDO
278,CERA C/CARNAUBA 200g ARMORALL TRADIC,CERA INCOLOR,TRATAMENTO DE PISO
279,MOLHO MASTERCHEF 330G BARBECUE,TRADICIONAL,MOLHO BARBECUE
280,LEITE CONDENSADO DIET 220 g LOWCUCAR,TRADICIONAL,LEITE CONDENSADO
281,GEL FIX KANECHOM PROFIS AZUL 1KG,FIXADOR,FIXADOR DE CABELO
282,CANECA ACASA N M BLUE 320ML 15052,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA
283,BEB FUNC LIFE MIX 1L PESSEGO,REGULAR,SUCO PRONTO/NECTAR
