DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
SORVETE LA BASQUE LIGHT 700ML-PT CHOC,POTE PREMIUM,SORVETE,CONGELADOS DOCES
BALA DURA ARCOR MENTA CRISTAL 150G,BALAS - DURAS,BOMBONIERE,MERCEARIA DOCE
PROT SOL FAC RED APPLE FPS50 60G,FPS 60,PROTETOR SOLAR FACIAL,CUIDADOS COM O ROSTO
QUEIJO EMMENTAL PRESIDENT 220GR,EMMENTAL,QUEIJO,FRIOS
SH OX RECONST PROF 400ML,RECONSTRUTOR,SHAMPOO,CUIDADOS COM O CABELO
CREME TRAT OX RECONSTRUCAO PROFUNDA 300G,RESTAURADOR,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
QUEIJO PARM PRESIDENT PED KG,PARMESÃO,QUEIJO,FRIOS
"ELIM ODORES SANOL DOG 2L, TRADICIONAL",ELIMINADOR DE ODOR,HIGIENE/LIMPEZA PET SHOP,PET SHOP
FRANGO CONGELADO REAL KG,AVE INTEIRA,AVE CONGELADA,AÇOUGUE
LINGUICA FRICASA CALABRESA DEF 300G (V),CALABRESA,LINGUIÇA,EMBUTIDOS
COENTRO RECANTO LUA 25G,COENTRO,CONDIMENTO NATURAL,MERCEARIA SALGADA
"SOPA MAGGI 20G, FRANGO ALHO PORO",SOPA INSTANTÂNEA GALINHA,SOPA,MERCEARIA SALGADA
MEL LAMBERTUCCI BISN 260GR. LARANJA,SABORIZADO,MEL,MERCEARIA DOCE
POTE TRAMONTINA INOX C/TP 14CM 61222140,POTES,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
VINHO ARG DIAMANDES G-RSV 750ML CHARDONNAY BCO,VINHO ARGENTINO,VINHO,BEBIDAS ALCOÓLICAS
ERVILHA BENASSI 250G,ERVILHA,ERVILHA EM CONSERVA,MERCEARIA SALGADA
GUIRLANDA PIERROT VD 40CM 205,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL,DECORAÇÃO
"COPO CONICO 200ML, GLOBE",COPO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
VINHO PORTA DA RAVESSA 750ML ROSE SF 2006,VINHO ROSE,VINHO,BEBIDAS ALCOÓLICAS
FRUTOS DA TERRA SEMENTE LINHACA 200g MARRON,SEMENTE DE LINHAÇA,SAUDÁVEL,MERCEARIA DOCE
LEITE LEITISSIMO ZERO LACTOSE GFA 1L,ZERO LACTOSE,LEITE UHT,LEITE
"SORVETE FRUT BISS 1,5L BROWNIE",POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
LUVA SPONTEX MULTIUSO P AMAR PCT C/1PAR,LUVA DE LÁTEX,LUVA,LAVANDERIA
AGUA COCO TROP COCO TP 1L,NATURAL,ÁGUA DE COCO,BEBIDAS NÃO ALCOÓLICAS
DOCE TENERE 200GR PE MOLEQUE,PÉ DE MOLEQUE,DOCE TABLETE,MERCEARIA DOCE
SAND HAVAIANAS PROMOCIONAL SURF 41/42 PRETO/CZA CHUMBO,SANDÁLIA,CALÇADO ADULTO,CALÇADO
AGUA MIN MINALBA 510ML NAT MOVIMENT,SEM GÁS,ÁGUA MINERAL,BEBIDAS NÃO ALCOÓLICAS
QUEIJO PARMISSIMO PROVOLONE FATIADO 150G,PROVOLONE,QUEIJO,FRIOS
MACARRAO GALO SEMOLA ESPAG N7 PCT 500G,ESPAGUETE,MASSA SECA,MERCEARIA SALGADA
GELEIA SUPERBOM 100% UVA 310G,GELEIA GOURMET,GELÉIA,MERCEARIA DOCE
"POTE NADIR COLOREX OPA 0,7LT",POTES,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
SALGADINHO TORTILHA DORITOS ROCK MEDIO 55G-PC,SALGADINHOS TORTILHAS,SALGADINHO E APERITIVO,MERCEARIA DOCE
FERRO WALITA VAPOR AZ 127V RI1436/22,FERRO DE PASSAR A VAPOR,FERRO/PASSADOR DE ROUPA,ELETRO
COZINHA SABOR 175g BOLINHO DE ARROZ TIO JOAO TRADICIONA,MISTURAS,FARINÁCEO,MERCEARIA DOCE
PALMITO IPANEMA TOLETE PUPUNHA 300G VIDRO,RODELA/PEDAÇOS/TOLETE,PALMITO,MERCEARIA SALGADA
HAMB BOVINO BRASA BURGUERS ANGUS 560G,BOVINO,HAMBÚRGUER,CONGELADOS SALGADOS
MASSA FR PASTEL FRESC CESABELA 500G-PC GDE,PASTEL DISCO,MASSA FRESCA,MASSAS FRESCAS
REQUEIJAO AVIACAO CREM.250GR,CREMOSO,REQUEIJÃO,GORDUROSOS
DES AERO NIVEA DRY IMPACT 150ML LV3 PG2,AEROSOL COM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
CANETA BIC INTENSITY ULTRA FINA PT UN,CANETA ESFEROGRÁFICA,MATERIAL ESCOLAR,PAPELARIA
GRANATUS PREMIUM AMEN/CAST NATUS 200G,GRANOLA,SAUDÁVEL,MERCEARIA DOCE
SORVETE YPY CHOCOLATE ZERO LACT PT 500ML,POTE PREMIUM,SORVETE,CONGELADOS DOCES
LAVA ROUPA LIQ BRILHANTE BRILHO ATIVO DOYPACK 1L,INTERMEDIÁRIO,LAVA ROUPA LÍQUIDO,CUIDADOS COM A ROUPA
LIXEIRA KREA QUADRADA PLASTICA 5L,LIXEIRA,LIXEIRA,LAVANDERIA
SABONETE ALBANY SUAVE 85g,SUAVE,SABONETE BARRA,HIGIENE PESSOAL
GRANOLA INGLESA JORDANS 400G-PC TROPICAL,GRANOLA,SAUDÁVEL,MERCEARIA DOCE
FRIGIDEIRA COLORIDA 26CM,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
SAND AD HAVAIANAS BRASIL LG 37.38 AZUL NAVA,SANDÁLIA,CALÇADO ADULTO,CALÇADO
FIO DENTAL CONDOR MENTA ESP.25M,FIO DENTAL,FIO/FITA DENTAL,HIGIENE ORAL
DECANTER GS TANGO 1.9L 311104007,DECANTER,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
CAIXA GARDEN LIFE TERMICA 20L,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS,LAZER/CAMPING
PLUG UD MACHO LATAO ESPECIAL,PLUGUE,ELÉTRICA,MANUTENÇÃO
JG TACAS RIEDEL B SIGLE MALT C/2 200ML,TAÇAS,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
"BARRA CEREAL RITTER 75G, AVELA/CAST",REGULAR,BARRA DE CEREAL,MERCEARIA DOCE
DES AERO FRANCIS HYDRATTA POWDER CARE 165ML,AEROSOL COM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
CAFE C LEITE MELITTA 200G,CAFÉ COM LEITE TRADICIONAL,CAFÉ,MERCEARIA DOCE
DUCHA LORENZETTI M BANHO C/C 127V/5500W,DUCHA,HIDRÁULICA,MANUTENÇÃO
KIT ESCOVA E PENTE MARCO BONI,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
MASCR CAB SALON-LINE T-PODENDO ALIS/RELAX NV3 1KG,MÁSCARA CAPILAR,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
COCADA DA TERRA 200G BRANCA,BRANCA,COCADA,MERCEARIA DOCE
PERNIL SEARA S/OSSO TEMP kg .,PERNIL SEM OSSO,SUÍNO RESFRIADO,AÇOUGUE
CHICLE BIGBIG DP 100un ARCOR TATUAGEM TUTTIFRUTI,CHICLETE TUTTI FRUTTI,BOMBONIERE,MERCEARIA DOCE
SAB BAR INF FRANCIS HYDRATTA BABY BANHO DELIC RO 90G,BÁSICO,SABONETE BARRA INFANTIL,HIGIENE PESSOAL INFANTIL
ESSENCIA EUCALIPTO FARMAX 100ML,ESSÊNCIA,PURIFICADOR DE AR,CUIDADOS COM A CASA
PRATO SOBREM ROMA D 410134MS,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
TINT PERM COR&TON KIT CR 135G MEGA 7.777 LRO MER I,PERMANENTE LOURO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
VINAGRE 750ml PROVATTI TINTO,VINAGRE ÁLCOOL,VINAGRE,MERCEARIA SALGADA
COGUMELO CHAMPIGNON YURI 250G,CHAMPIGNON,COGUMELO,MERCEARIA SALGADA
COENTRO HORTA CASEIRA UN .,COENTRO,VERDURAS,HORTIFRUTI
"COMPOSTO MEL FITOBEL 150G, PROPOL/ROMA",FÓRMULAS INFANTIS / COMPOSTO ALIMENTAR,NUTRIÇÃO INFANTIL,MERCEARIA DOCE
COPO ANTIVA 360 NUK MAGIC CUP BOY 250ML,COPO,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
SANDALIA IPANEMA HOMEM ARANHA .,SANDÁLIA,CALÇADO ADULTO,CALÇADO
BALA DROPS PAST HALLS MORANGO 21UN,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
MEIA LOBA ESSENCIAL FUMEE P 5770,P,MEIA,TEXTIL
VELA ANIV FEST LAR AZUL N.8,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
